Place	District	State/Union
Hussainpur	Kapurthala	Punjab
Jagraon	Ludhiana	Punjab
Jaitu	Faridkot	Punjab
Jalalabad	Firozpur	Punjab
Jalandhar	Jalandhar	Punjab
Jalandhar Cantt.	Jalandhar	Punjab
Jandiala	Amritsar	Punjab
Jandiala	Jalandhar	Punjab
Jugial	Gurdaspur	Punjab
Kalanaur	Gurdaspur	Punjab
Kapurthala	Kapurthala	Punjab
Karoran	Rupnagar	Punjab
Kartarpur	Jalandhar	Punjab
Khamanon	Fatehgarh Sahib	Punjab
Khanauri	Sangrur	Punjab
Khanna	Ludhiana	Punjab
Kharar	Rupnagar	Punjab
Khem Karan	Amritsar	Punjab
Kot Fatta	Bathinda	Punjab
Kot Kapura	Faridkot	Punjab
Kurali	Rupnagar	Punjab
Lehragaga	Sangrur	Punjab
Lodhian Khas	Jalandhar	Punjab
Longowal	Sangrur	Punjab
Ludhiana	Ludhiana	Punjab
Machhiwara	Ludhiana	Punjab
Mahilpur	Hoshiarpur	Punjab
Majitha	Amritsar	Punjab
Makhu	Firozpur	Punjab
Malerkotla	Sangrur	Punjab
Maloud	Ludhiana	Punjab
Malout	Muktsar	Punjab
Mansa	Mansa	Punjab
Maur	Bathinda	Punjab
Moga	Moga	Punjab
Moonak	Sangrur	Punjab
Morinda	Rupnagar	Punjab
Mukerian	Hoshiarpur	Punjab
Muktsar	Muktsar	Punjab
Mullanpur Dakha	Ludhiana	Punjab
Mullanpur- Garibdas	Rupnagar	Punjab
Nabha	Patiala	Punjab
Nakodar	Jalandhar	Punjab
Nangal	Rupnagar	Punjab
Nawanshahr	Nawanshahr	Punjab
Nehon	Rupnagar	Punjab
Noor Mahal	Jalandhar	Punjab
Pathankot	Gurdaspur	Punjab
Patiala	Patiala	Punjab
Patti	Amritsar	Punjab
Pattran	Patiala	Punjab
Payal	Ludhiana	Punjab
Phagwara	Kapurthala	Punjab
Phillaur	Jalandhar	Punjab
Qadian	Gurdaspur	Punjab
Rahon	Nawanshahr	Punjab
Raikot	Ludhiana	Punjab
Rajasansi	Amritsar	Punjab
Rajpura	Patiala	Punjab
Raman	Bathinda	Punjab
Ramdass	Amritsar	Punjab
Rampura Phul	Bathinda	Punjab
Rayya	Amritsar	Punjab
Rupnagar	Rupnagar	Punjab
Rurki Kasba	Patiala	Punjab
S.A.S. Nagar (Mohali)	Rupnagar	Punjab
Sahnewal	Ludhiana	Punjab
Samana	Patiala	Punjab
Samrala	Ludhiana	Punjab
Sanaur	Patiala	Punjab
Sangat	Bathinda	Punjab
Sangrur	Sangrur	Punjab
Sansarpur	Jalandhar	Punjab
Sardulgarh	Mansa	Punjab
Shahkot	Jalandhar	Punjab
Shamchaurasi	Hoshiarpur	Punjab
Shekhpura	Patiala	Punjab
Sirhind -Fategarh	Fatehgarh Sahib	Punjab
Sri Hargobindpur	Gurdaspur	Punjab
Sujanpur	Gurdaspur	Punjab
Sultanpur Lodhi	Kapurthala	Punjab
Sunam	Sangrur	Punjab
Talwandi Bhai	Firozpur	Punjab
Talwara	Hoshiarpur	Punjab
Tappa	Sangrur	Punjab
Tarn Taran	Amritsar	Punjab
Urmar Tanda	Hoshiarpur	Punjab
Zira	Firozpur	Punjab
Zirakpur	Patiala	Punjab
1 SGM	Ganganagar	Rajasthan
3 STR	Ganganagar	Rajasthan
Abu Road	Sirohi	Rajasthan
Ajmer	Ajmer	Rajasthan
Aklera	Jhalawar	Rajasthan
Alwar	Alwar	Rajasthan
Amet	Rajsamand	Rajasthan
Antah	Baran	Rajasthan
Anupgarh	Ganganagar	Rajasthan
Asind	Bhilwara	Rajasthan
Baggar	Jhunjhunun	Rajasthan
Bagru	Jaipur	Rajasthan
Bakani	Jhalawar	Rajasthan
Bali	Pali	Rajasthan
Balotra	Barmer	Rajasthan
Bandikui	Dausa	Rajasthan
Banswara	Banswara	Rajasthan
Baran	Baran	Rajasthan
Bari	Dhaulpur	Rajasthan
Bari Sadri	Chittaurgarh	Rajasthan
Barmer	Barmer	Rajasthan
Basni Belima	Nagaur	Rajasthan
Bayana	Bharatpur	Rajasthan
Beawar	Ajmer	Rajasthan
Beejoliya Kalan	Bhilwara	Rajasthan
Begun	Chittaurgarh	Rajasthan
Behat	Saharanpur	Rajasthan
Behror	Alwar	Rajasthan
Bhadra	Hanumangarh	Rajasthan
Bhalariya	Udaipur	Rajasthan
Bharatpur	Bharatpur	Rajasthan
Bhawani Mandi	Jhalawar	Rajasthan
Bhilwara	Bhilwara	Rajasthan
Bhinder	Udaipur	Rajasthan
Bhinmal	Jalor	Rajasthan
Bhiwadi	Alwar	Rajasthan
Bhusawar	Bharatpur	Rajasthan
Bidasar	Churu	Rajasthan
Bikaner	Bikaner	Rajasthan
Bilara	Jodhpur	Rajasthan
Bissau	Jhunjhunun	Rajasthan
Budhpura	Bundi	Rajasthan
Bundi	Bundi	Rajasthan
Chaksu	Jaipur	Rajasthan
Chechat	Kota	Rajasthan
Chhabra	Baran	Rajasthan
Chhapar	Churu	Rajasthan
Chhipabarod	Baran	Rajasthan
Chhoti Sadri	Chittaurgarh	Rajasthan
Chirawa	Jhunjhunun	Rajasthan
Chittaurgarh	Chittaurgarh	Rajasthan
Chomu	Jaipur	Rajasthan
Churu	Churu	Rajasthan
Dariba	Rajsamand	Rajasthan
Dausa	Dausa	Rajasthan
Deeg	Bharatpur	Rajasthan
Deoli	Tonk	Rajasthan
Deshnoke	Bikaner	Rajasthan
Devgarh	Rajsamand	Rajasthan
Dhariawad	Udaipur	Rajasthan
Dhaulpur	Dhaulpur	Rajasthan
Didwana	Nagaur	Rajasthan
Dungargarh	Churu	Rajasthan
Dungarpur	Dungarpur	Rajasthan
Fatehnagar	Udaipur	Rajasthan
Fatehpur	Sikar	Rajasthan
Gajsinghpur	Ganganagar	Rajasthan
Galiakot	Dungarpur	Rajasthan
Ganganagar	Ganganagar	Rajasthan
Gangapur	Bhilwara	Rajasthan
Gangapur City	Sawai Madhopur	Rajasthan
Goredi Chancha	Nagaur	Rajasthan
Gothra	Jhunjhunun	Rajasthan
Govindgarh	Alwar	Rajasthan
Gulabpura	Bhilwara	Rajasthan
Hanumangarh	Hanumangarh	Rajasthan
Hindaun	Karauli	Rajasthan
Indragarh	Bundi	Rajasthan
Jahazpur	Bhilwara	Rajasthan
Jaipur	Jaipur	Rajasthan
Jaisalmer	Jaisalmer	Rajasthan
Jaitaran	Pali	Rajasthan
Jalor	Jalor	Rajasthan
Jhalawar	Jhalawar	Rajasthan
Jhalrapatan	Jhalawar	Rajasthan
Jhunjhunun	Jhunjhunun	Rajasthan
Jobner	Jaipur	Rajasthan
Jodhpur	Jodhpur	Rajasthan
Kaithoon	Kota	Rajasthan
Kaman	Bharatpur	Rajasthan
Kanor	Udaipur	Rajasthan
Kapasan	Chittaurgarh	Rajasthan
Kaprain	Bundi	Rajasthan
Karanpur	Ganganagar	Rajasthan
Karauli	Karauli	Rajasthan
Kekri	Ajmer	Rajasthan
Keshoraipatan	Bundi	Rajasthan
Kesrisinghpur	Ganganagar	Rajasthan
Khairthal	Alwar	Rajasthan
Khandela	Sikar	Rajasthan
Kherli	Alwar	Rajasthan
Kherliganj	Baran	Rajasthan
Kherwara Chhaoni	Udaipur	Rajasthan
Khetri	Jhunjhunun	Rajasthan
Kiranipura	Ajmer	Rajasthan
Kishangarh	Alwar	Rajasthan
Kishangarh	Ajmer	Rajasthan
Kishangarh Renwal	Jaipur	Rajasthan
Kolvi Mandi Rajendra pura	Jhalawar	Rajasthan
Kota	Kota	Rajasthan
Kotputli	Jaipur	Rajasthan
Kuchaman City	Nagaur	Rajasthan
Kuchera	Nagaur	Rajasthan
Kumbhkot	Kota	Rajasthan
Kumher	Bharatpur	Rajasthan
Kushalgarh	Banswara	Rajasthan
Lachhmangarh	Sikar	Rajasthan
Ladnu	Nagaur	Rajasthan
Lakheri	Bundi	Rajasthan
Lalsot	Dausa	Rajasthan
Losal	Sikar	Rajasthan
Mahu Kalan	Sawai Madhopur	Rajasthan
Mahwa	Dausa	Rajasthan
Makrana	Nagaur	Rajasthan
Malpura	Tonk	Rajasthan
Mandalgarh	Bhilwara	Rajasthan
Mandawa	Jhunjhunun	Rajasthan
Mandawar	Dausa	Rajasthan
Mangrol	Baran	Rajasthan
Manohar Thana	Jhalawar	Rajasthan
Marwar Junction	Pali	Rajasthan
Merta City	Nagaur	Rajasthan
Modak	Kota	Rajasthan
Mount Abu	Sirohi	Rajasthan
Mukandgarh	Jhunjhunun	Rajasthan
Mundwa	Nagaur	Rajasthan
Nadbai	Bharatpur	Rajasthan
Nagar	Bharatpur	Rajasthan
Nagaur	Nagaur	Rajasthan
Nainwa	Bundi	Rajasthan
Nasirabad	Ajmer	Rajasthan
Nathdwara	Rajsamand	Rajasthan
Nawa	Nagaur	Rajasthan
Nawalgarh	Jhunjhunun	Rajasthan
Neem-Ka-Thana	Sikar	Rajasthan
Newa Talai	Udaipur	Rajasthan
Nimbahera	Chittaurgarh	Rajasthan
Niwai	Tonk	Rajasthan
Nohar	Hanumangarh	Rajasthan
Nokha	Bikaner	Rajasthan
Padampur	Ganganagar	Rajasthan
Pali	Pali	Rajasthan
Parbatsar	Nagaur	Rajasthan
Partapur	Banswara	Rajasthan
Phalna	Pali	Rajasthan
Phalodi	Jodhpur	Rajasthan
Phulera	Jaipur	Rajasthan
Pilani	Jhunjhunun	Rajasthan
Pilibanga	Hanumangarh	Rajasthan
Pindwara	Sirohi	Rajasthan
Piparcity	Jodhpur	Rajasthan
Pirawa	Jhalawar	Rajasthan
Pokaran	Jaisalmer	Rajasthan
Pratapgarh	Chittaurgarh	Rajasthan
Pushkar	Ajmer	Rajasthan
Raisinghnagar	Ganganagar	Rajasthan
Rajakhera	Dhaulpur	Rajasthan
Rajaldesar	Churu	Rajasthan
Rajgarh	Churu	Rajasthan
Rajgarh	Alwar	Rajasthan
Rajsamand	Rajsamand	Rajasthan
Ramganj Mandi	Kota	Rajasthan
Ramgarh	Sikar	Rajasthan
Rani	Pali	Rajasthan
Ratangarh	Churu	Rajasthan
Ratannagar	Churu	Rajasthan
Rawatbhata	Chittaurgarh	Rajasthan
Rawatsar	Hanumangarh	Rajasthan
Reengus	Sikar	Rajasthan
Rikhabdeo	Udaipur	Rajasthan
Sadri	Pali	Rajasthan
Sadulshahar	Ganganagar	Rajasthan
Sagwara	Dungarpur	Rajasthan
Salumbar	Udaipur	Rajasthan
Sambhar	Jaipur	Rajasthan
Sanchore	Jalor	Rajasthan
Sangaria	Hanumangarh	Rajasthan
Sangod	Kota	Rajasthan
Sardarshahar	Churu	Rajasthan
Sarwar	Ajmer	Rajasthan
Satalkheri	Kota	Rajasthan
Sawai Madhopur	Sawai Madhopur	Rajasthan
Shahpura	Jaipur	Rajasthan
Shahpura	Bhilwara	Rajasthan
Sheoganj	Sirohi	Rajasthan
Sikar	Sikar	Rajasthan
Sirohi	Sirohi	Rajasthan
Sogariya	Kota	Rajasthan
Sojat	Pali	Rajasthan
Sojat Road	Pali	Rajasthan
Sri Madhopur	Sikar	Rajasthan
Sujangarh	Churu	Rajasthan
Suket	Kota	Rajasthan
Sumerpur	Pali	Rajasthan
Surajgarh	Jhunjhunun	Rajasthan
Suratgarh	Ganganagar	Rajasthan
Takhatgarh	Pali	Rajasthan
Taranagar	Churu	Rajasthan
Tijara	Alwar	Rajasthan
Todabhim	Karauli	Rajasthan
Todaraisingh	Tonk	Rajasthan
Todra	Sawai Madhopur	Rajasthan
Tonk	Tonk	Rajasthan
Udaipur	Udaipur	Rajasthan
Udaipurwati	Jhunjhunun	Rajasthan
Udpura	Kota	Rajasthan
Uniara	Tonk	Rajasthan
Vanasthali	Tonk	Rajasthan
Vidyavihar	Jhunjhunun	Rajasthan
Vijainagar	Ganganagar	Rajasthan
Vijainagar	Ajmer	Rajasthan
Viratnagar	Jaipur	Rajasthan
Weir	Bharatpur	Rajasthan
Gangtok	East	Sikkim
Gyalshing	West	Sikkim
Jorethang	South	Sikkim
Mangan	North 	Sikkim
Namchi	South	Sikkim
Nayabazar	West	Sikkim
Rangpo	East	Sikkim
Singtam	East	Sikkim
Upper Tadong	East	Sikkim
A.Thirumuruganpoondi	Coimbatore	Tamil Nadu
A.Vellalapatti	Madurai	Tamil Nadu
Abiramam	Ramanathapuram	Tamil Nadu
Achampudur	Tirunelveli	Tamil Nadu
Acharapakkam	Kancheepuram	Tamil Nadu
Acharipallam	Kanniyakumari	Tamil Nadu
Achipatti	Coimbatore	Tamil Nadu
Adikaratti	The Nilgiris	Tamil Nadu
Adiramapattinam	Thanjavur	Tamil Nadu
Aduthurai alias Maruthuvakudi	Thanjavur	Tamil Nadu
Agaram	Dindigul	Tamil Nadu
Agastheeswaram	Kanniyakumari	Tamil Nadu
Alagappapuram	Kanniyakumari	Tamil Nadu
Alampalayam	Namakkal	Tamil Nadu
Alandur	Kancheepuram	Tamil Nadu
Alanganallur	Madurai	Tamil Nadu
Alangayam	Vellore	Tamil Nadu
Alangudi	Pudukkottai	Tamil Nadu
Alangulam	Virudhunagar	Tamil Nadu
Alangulam	Tirunelveli	Tamil Nadu
Alanthurai	Coimbatore	Tamil Nadu
Alapakkam	Kancheepuram	Tamil Nadu
Allapuram	Vellore	Tamil Nadu
Alur	Kanniyakumari	Tamil Nadu
Alwarkurichi	Tirunelveli	Tamil Nadu
Alwarthirunagiri	Toothukudi	Tamil Nadu
Ambasamudram	Tirunelveli	Tamil Nadu
Ambattur	Thiruvallur	Tamil Nadu
Ambur	Vellore	Tamil Nadu
Ammainaickanur	Dindigul	Tamil Nadu
Ammapettai	Erode	Tamil Nadu
Ammapettai	Thanjavur	Tamil Nadu
Ammavarikuppam	Thiruvallur	Tamil Nadu
Ammoor	Vellore	Tamil Nadu
Anaimalai	Coimbatore	Tamil Nadu
Anaiyur	Madurai	Tamil Nadu
Anaiyur	Virudhunagar	Tamil Nadu
Anakaputhur	Kancheepuram	Tamil Nadu
Ananthapuram	Viluppuram	Tamil Nadu
Andipalayam	Coimbatore	Tamil Nadu
Andipatti Jakkampatti	Theni	Tamil Nadu
Anjugramam	Kanniyakumari	Tamil Nadu
Annamalai Nagar	Cuddalore	Tamil Nadu
Annavasal	Pudukkottai	Tamil Nadu
Annur	Coimbatore	Tamil Nadu
Anthiyur	Erode	Tamil Nadu
Appakudal	Erode	Tamil Nadu
Arachalur	Erode	Tamil Nadu
Arakandanallur	Viluppuram	Tamil Nadu
Arakonam	Vellore	Tamil Nadu
Aralvaimozhi	Kanniyakumari	Tamil Nadu
Arani	Thiruvallur	Tamil Nadu
Arani	Tiruvanamalai	Tamil Nadu
Aranthangi	Pudukkottai	Tamil Nadu
Arasiramani	Salem	Tamil Nadu
Aravakurichi	Kapur	Tamil Nadu
Aravankad	The Nilgiris	Tamil Nadu
Arcot	Vellore	Tamil Nadu
Arimalam	Pudukkottai	Tamil Nadu
Ariyalur	Ariyalur	Tamil Nadu
Ariyappampalayam	Erode	Tamil Nadu
Ariyur	Vellore	Tamil Nadu
Arumanai	Kanniyakumari	Tamil Nadu
Arumbavur	Perambalur	Tamil Nadu
Arumuganeri	Toothukudi	Tamil Nadu
Aruppukkottai	Virudhunagar	Tamil Nadu
Ashokapuram	Coimbatore	Tamil Nadu
Athani	Erode	Tamil Nadu
Athanur	Namakkal	Tamil Nadu
Athimarapatti	Toothukudi	Tamil Nadu
Athipattu	Thiruvallur	Tamil Nadu
Athur	Toothukudi	Tamil Nadu
Athur	Kanniyakumari	Tamil Nadu
Attayampatti	Salem	Tamil Nadu
Attur	Salem	Tamil Nadu
Avadattur	Salem	Tamil Nadu
Avadi	Thiruvallur	Tamil Nadu
Avalpoondurai	Erode	Tamil Nadu
Avanashi	Coimbatore	Tamil Nadu
Avaniapuram	Madurai	Tamil Nadu
Ayakudi	Dindigul	Tamil Nadu
Aygudi	Tirunelveli	Tamil Nadu
Ayothiapattinam	Salem	Tamil Nadu
Ayyalur	Dindigul	Tamil Nadu
Ayyampalayam	Dindigul	Tamil Nadu
Ayyampettai	Kancheepuram	Tamil Nadu
Ayyampettai	Thanjavur	Tamil Nadu
Azhagiapandiapuram	Kanniyakumari	Tamil Nadu
B. Mallapuram	Dharmapuri	Tamil Nadu
B. Meenakshipuram	Theni	Tamil Nadu
Balakrishnampatti	Tiruchirappalli	Tamil Nadu
Balakrishnapuram	Dindigul	Tamil Nadu
Balapallam	Kanniyakumari	Tamil Nadu
Balasamudram	Dindigul	Tamil Nadu
Bargur	Dharmapuri	Tamil Nadu
Batlagundu	Dindigul	Tamil Nadu
Belur	Salem	Tamil Nadu
Bhavani	Erode	Tamil Nadu
Bhavanisagar	Erode	Tamil Nadu
Bhuvanagiri	Cuddalore	Tamil Nadu
Bikketti	The Nilgiris	Tamil Nadu
Bodinayakkanur	Theni	Tamil Nadu
Boothapandi	Kanniyakumari	Tamil Nadu
Boothipuram	Theni	Tamil Nadu
Brahmana Periya-Agraharam	Erode	Tamil Nadu
Chengalpattu	Kancheepuram	Tamil Nadu
Chengam	Tiruvanamalai	Tamil Nadu
Chennai	Chennai	Tamil Nadu
Chennasamudram	Erode	Tamil Nadu
Chennimalai	Erode	Tamil Nadu
Cheranmadevi	Tirunelveli	Tamil Nadu
Chetpet	Tiruvanamalai	Tamil Nadu
Chettiarpatti	Virudhunagar	Tamil Nadu
Chettipalayam	Coimbatore	Tamil Nadu
Chettipalayam	Coimbatore	Tamil Nadu
Chettithangal	Vellore	Tamil Nadu
Chidambaram	Cuddalore	Tamil Nadu
Chinna Anuppanadi	Madurai	Tamil Nadu
Chinnakkampalayam	Erode	Tamil Nadu
Chinnalapatti	Dindigul	Tamil Nadu
Chinnamanur	Theni	Tamil Nadu
Chinnampalayam	Coimbatore	Tamil Nadu
Chinnasalem	Viluppuram	Tamil Nadu
Chinnasekkadu	Thiruvallur	Tamil Nadu
Chinnavedampatti	Coimbatore	Tamil Nadu
Chithode	Erode	Tamil Nadu
Chitlapakkam	Kancheepuram	Tamil Nadu
Cholapuram	Thanjavur	Tamil Nadu
Coimbatore	Coimbatore	Tamil Nadu
Coonoor	The Nilgiris	Tamil Nadu
Courtalam	Tirunelveli	Tamil Nadu
Cuddalore	Cuddalore	Tamil Nadu
Dalavaipatti	Salem	Tamil Nadu
Denkanikottai	Dharmapuri	Tamil Nadu
Desur	Tiruvanamalai	Tamil Nadu
Devadanapatti	Theni	Tamil Nadu
Devakottai	Sivaganga	Tamil Nadu
Devanangurichi	Namakkal	Tamil Nadu
Devarshola	The Nilgiris	Tamil Nadu
Dhalavoipuram	Virudhunagar	Tamil Nadu
Dhali	Coimbatore	Tamil Nadu
Dhaliyur	Coimbatore	Tamil Nadu
Dharapadavedu	Vellore	Tamil Nadu
Dharapuram	Erode	Tamil Nadu
Dharasuram	Thanjavur	Tamil Nadu
Dharmapuri	Dharmapuri	Tamil Nadu
Dindigul	Dindigul	Tamil Nadu
Dusi	Tiruvanamalai	Tamil Nadu
Edaganasalai	Salem	Tamil Nadu
Edaikodu	Kanniyakumari	Tamil Nadu
Edakalinadu	Kancheepuram	Tamil Nadu
Edappadi	Salem	Tamil Nadu
Elathur	Erode	Tamil Nadu
Elayirampannai	Virudhunagar	Tamil Nadu
Elumalai	Madurai	Tamil Nadu
Eral	Toothukudi	Tamil Nadu
Eraniel	Kanniyakumari	Tamil Nadu
Eriodu	Dindigul	Tamil Nadu
Erode	Erode	Tamil Nadu
Erumaipatti	Namakkal	Tamil Nadu
Eruvadi	Tirunelveli	Tamil Nadu
Ethapur	Salem	Tamil Nadu
Ettayapuram	Toothukudi	Tamil Nadu
Ettimadai	Coimbatore	Tamil Nadu
Ezhudesam	Kanniyakumari	Tamil Nadu
Ganapathipuram	Kanniyakumari	Tamil Nadu
Gandhi Nagar(Katpadi Ext.)	Vellore	Tamil Nadu
Gangaikondan	Cuddalore	Tamil Nadu
Gangavalli	Salem	Tamil Nadu
Ganguvarpatti	Theni	Tamil Nadu
Gingee	Viluppuram	Tamil Nadu
Gobichettipalayam	Erode	Tamil Nadu
Gopalasamudram	Tirunelveli	Tamil Nadu
Goundampalayam	Coimbatore	Tamil Nadu
Gudalur	The Nilgiris	Tamil Nadu
Gudalur	Coimbatore	Tamil Nadu
Gudalur	Theni	Tamil Nadu
Gudiyatham	Vellore	Tamil Nadu
Gummidipoondi	Thiruvallur	Tamil Nadu
Hanumanthampatti	Theni	Tamil Nadu
Harur	Dharmapuri	Tamil Nadu
Harveypatti	Madurai	Tamil Nadu
Highways	Theni	Tamil Nadu
Hosur	Dharmapuri	Tamil Nadu
Hubbathala	The Nilgiris	Tamil Nadu
Huligal	The Nilgiris	Tamil Nadu
Idikarai	Coimbatore	Tamil Nadu
Ilampillai	Salem	Tamil Nadu
Ilanji	Tirunelveli	Tamil Nadu
Iluppaiyurani	Toothukudi	Tamil Nadu
Iluppur	Pudukkottai	Tamil Nadu
Inam Karur	Kapur	Tamil Nadu
Injambakkam	Kancheepuram	Tamil Nadu
Irugur	Coimbatore	Tamil Nadu
Jaffrabad	Vellore	Tamil Nadu
Jagathala	The Nilgiris	Tamil Nadu
Jalakandapuram	Salem	Tamil Nadu
Jalladiampet	Kancheepuram	Tamil Nadu
Jambai	Erode	Tamil Nadu
Jayankondam	Ariyalur	Tamil Nadu
Jolarpet	Vellore	Tamil Nadu
Kadambur	Toothukudi	Tamil Nadu
Kadathur	Dharmapuri	Tamil Nadu
Kadayal	Kanniyakumari	Tamil Nadu
Kadayampatti	Salem	Tamil Nadu
Kadayanallur	Tirunelveli	Tamil Nadu
Kalakkad	Tirunelveli	Tamil Nadu
Kalambur	Tiruvanamalai	Tamil Nadu
Kalapatti	Coimbatore	Tamil Nadu
Kalappanaickenpatti	Namakkal	Tamil Nadu
Kalavai	Vellore	Tamil Nadu
Kalinjur	Vellore	Tamil Nadu
Kaliyakkavilai	Kanniyakumari	Tamil Nadu
Kalladaikurichi	Tirunelveli	Tamil Nadu
Kallakkurichi	Viluppuram	Tamil Nadu
Kallakudi	Tiruchirappalli	Tamil Nadu
Kallukuttam	Kanniyakumari	Tamil Nadu
Kalugumalai	Toothukudi	Tamil Nadu
Kamayagoundanpatti	Theni	Tamil Nadu
Kambainallur	Dharmapuri	Tamil Nadu
Kambam	Theni	Tamil Nadu
Kamuthi	Ramanathapuram	Tamil Nadu
Kanadukathan	Sivaganga	Tamil Nadu
Kanakkampalayam	Coimbatore	Tamil Nadu
Kanam	Toothukudi	Tamil Nadu
Kancheepuram	Kancheepuram	Tamil Nadu
Kandanur	Sivaganga	Tamil Nadu
Kangayampalayam	Coimbatore	Tamil Nadu
Kangeyam	Erode	Tamil Nadu
Kangeyanallur	Vellore	Tamil Nadu
Kaniyur	Coimbatore	Tamil Nadu
Kanjikoil	Erode	Tamil Nadu
Kannadendal	Madurai	Tamil Nadu
Kannamangalam	Tiruvanamalai	Tamil Nadu
Kannampalayam	Coimbatore	Tamil Nadu
Kannankurichi	Salem	Tamil Nadu
Kannivadi	Erode	Tamil Nadu
Kannivadi	Dindigul	Tamil Nadu
Kanniyakumari	Kanniyakumari	Tamil Nadu
Kappiyarai	Kanniyakumari	Tamil Nadu
Karaikkudi	Sivaganga	Tamil Nadu
Karamadai	Coimbatore	Tamil Nadu
Karambakkam	Thiruvallur	Tamil Nadu
Karambakkudi	Pudukkottai	Tamil Nadu
Kariamangalam	Dharmapuri	Tamil Nadu
Kariapatti	Virudhunagar	Tamil Nadu
Karugampattur	Vellore	Tamil Nadu
Karumandi Chellipalayam	Erode	Tamil Nadu
Karumathampatti	Coimbatore	Tamil Nadu
Karungal	Kanniyakumari	Tamil Nadu
Karunguzhi	Kancheepuram	Tamil Nadu
Karuppur	Salem	Tamil Nadu
Karur	Kapur	Tamil Nadu
Kasipalayam (E)	Erode	Tamil Nadu
Kasipalayam (G)	Erode	Tamil Nadu
Kathujuganapalli	Dharmapuri	Tamil Nadu
Katpadi	Vellore	Tamil Nadu
Kattivakkam	Thiruvallur	Tamil Nadu
Kattumannarkoil	Cuddalore	Tamil Nadu
Kattuputhur	Tiruchirappalli	Tamil Nadu
Kaveripakkam	Vellore	Tamil Nadu
Kaveripattinam	Dharmapuri	Tamil Nadu
Kayalpattinam	Toothukudi	Tamil Nadu
Kayatharu	Toothukudi	Tamil Nadu
Keelakarai	Ramanathapuram	Tamil Nadu
Keeramangalam	Pudukkottai	Tamil Nadu
Keeranur	Dindigul	Tamil Nadu
Keeranur	Pudukkottai	Tamil Nadu
Keeripatti	Salem	Tamil Nadu
Keezhapavur	Tirunelveli	Tamil Nadu
Kelamangalam	Dharmapuri	Tamil Nadu
Kembainaickenpalayam	Erode	Tamil Nadu
Kethi	The Nilgiris	Tamil Nadu
Kilampadi	Erode	Tamil Nadu
Kilkulam	Kanniyakumari	Tamil Nadu
Kilkunda	The Nilgiris	Tamil Nadu
Killiyur	Kanniyakumari	Tamil Nadu
Killlai	Cuddalore	Tamil Nadu
Kilpennathur	Tiruvanamalai	Tamil Nadu
Kilvelur	Nagapattinam	Tamil Nadu
Kinathukadavu	Coimbatore	Tamil Nadu
Kodaikanal	Dindigul	Tamil Nadu
Kodavasal	Thiruvarur	Tamil Nadu
Kodumudi	Erode	Tamil Nadu
Kolachal	Kanniyakumari	Tamil Nadu
Kolappalur	Erode	Tamil Nadu
Kolathupalayam	Erode	Tamil Nadu
Kolathur	Salem	Tamil Nadu
Kollankodu	Kanniyakumari	Tamil Nadu
Kollankoil	Erode	Tamil Nadu
Komaralingam	Coimbatore	Tamil Nadu
Kombai	Theni	Tamil Nadu
Konavattam	Vellore	Tamil Nadu
Kondalampatti	Salem	Tamil Nadu
Konganapuram	Salem	Tamil Nadu
Kooraikundu	Virudhunagar	Tamil Nadu
Koothappar	Tiruchirappalli	Tamil Nadu
Koradacheri	Thiruvarur	Tamil Nadu
Kotagiri	The Nilgiris	Tamil Nadu
Kothinallur	Kanniyakumari	Tamil Nadu
Kottaiyur	Sivaganga	Tamil Nadu
Kottakuppam	Viluppuram	Tamil Nadu
Kottaram	Kanniyakumari	Tamil Nadu
Kottivakkam	Kancheepuram	Tamil Nadu
Kottur	Coimbatore	Tamil Nadu
Kouthanallur	Thiruvarur	Tamil Nadu
Kovilpatti	Toothukudi	Tamil Nadu
Krishnagiri	Dharmapuri	Tamil Nadu
Krishnarayapuram	Kapur	Tamil Nadu
Krishnasamudram	Tiruchirappalli	Tamil Nadu
Kuchanur	Theni	Tamil Nadu
Kuhalur	Erode	Tamil Nadu
Kulasekarapuram	Kanniyakumari	Tamil Nadu
Kulithalai	Kapur	Tamil Nadu
Kumarapalayam	Namakkal	Tamil Nadu
Kumarapuram	Kanniyakumari	Tamil Nadu
Kumbakonam	Thanjavur	Tamil Nadu
Kundrathur	Kancheepuram	Tamil Nadu
Kuniyamuthur	Coimbatore	Tamil Nadu
Kunnathur	Erode	Tamil Nadu
Kurichi	Coimbatore	Tamil Nadu
Kurinjipadi	Cuddalore	Tamil Nadu
Kurudampalayam	Coimbatore	Tamil Nadu
Kurumbalur	Perambalur	Tamil Nadu
Kuthalam	Nagapattinam	Tamil Nadu
Kuzhithurai	Kanniyakumari	Tamil Nadu
Labbaikudikadu	Perambalur	Tamil Nadu
Lakkampatti	Erode	Tamil Nadu
Lalgudi	Tiruchirappalli	Tamil Nadu
Lalpet	Cuddalore	Tamil Nadu
Llayangudi	Sivaganga	Tamil Nadu
Madambakkam	Kancheepuram	Tamil Nadu
Madathukulam	Coimbatore	Tamil Nadu
Madavaram	Thiruvallur	Tamil Nadu
Madippakkam	Kancheepuram	Tamil Nadu
Madukkarai	Coimbatore	Tamil Nadu
Madukkur	Thanjavur	Tamil Nadu
Madurai	Madurai	Tamil Nadu
Maduranthakam	Kancheepuram	Tamil Nadu
Maduravoyal	Thiruvallur	Tamil Nadu
